title;id;acceptedAnswers;youtubeUrl
A pleins gaz;apg;;
Adrien, sauveur du monde;adrien;;
Albator;albator;albator,albator 78,albator 84;
Les Animaniacs;animaniacs;;
Attaquantes;attaquantes;;
Les aventures de Carlos;carlos;;
Les aventures de Tintin;titin;;
L'académie des ninjas;adn;;
Alvin et les chimpmunks;alvin;;
Astro le petit robot;astro;;
Les aventures de Robin des bois;robin;;
La bande à  Ovide;ovide;;
La bande à Piscou;piscou;;
Batman;batman;;
Beetlejuice;beetlejuice;;
Bibifoc;bibifoc;;
Les Bioniques;bioniques;;
Les Bisounours;bisounours;;
Bouba;bouba;;
Bouli;bouli;;
Boumbo;boumbo;;
Bravestarr;bravestarr;;
Babar;babar;;
La bande à  Dingo;dingo;;
Les Barbapapa;barbapapa;;
Bleu, l'enfant de la Terre;bleu;;
Bucky O'Hare;bucky;;
Bugs Bunny;bb;;
But pour Rudy;rudy;;
Candy;candy;;
Capitaine Caverne;caverne;;
Capitaine Flam;flam;;
Les Chevaliers du zodiaque;cdz;les chevaliers du zodiaque, chevaliers du zodiaque, les chevaliers du zodiac, chevaliers du zodiac, les chevalier du zodiaque, chevalier du zodiaque, les chevalier du zodiac, chevalier du zodiac;
Club Bécébégé;bcbg;;
Cobra;cobra;;
Les Cosmocats;cosmocats;;
Creamy, merveilleuse Creamy;creamy;;
Cyntia ou le rythme de la vie;cyntia;;
Captain Planet;planet;;
Casper;casper;;
Cherry miel;cherry;;
Clémentine;clementine;;
Cubitus;cubitus;;
Le collïège fou fou fou;cfff;;
Conan l'aventurier;conan;;
Dare dare motus;ddm;;
Denis la malice;denis;;
Dino riders;dino;;
Diplodo;diplodo;;
Docteur Slump;slump;;
Dragon ball;db;dragon ball, dragonball, db;
Dragon ball Z;dbz;dragon ball z, dragonball z, dragonballz, db z, dbz;
Denver le dernier dinosaure;denver;;
Dancougar;dancougar;;
David le gnome;gnome;;
L'école des champions;edc;;
Emi magique;emi;;
Les Entrechats;entrechats;;
Flo et les robinsons suisses;flo;;
Fly;fly;;
Les fous du volant;fdv;;
Galaxy Express 999;ge999;;
Les Gargoyles;gargoyles;;
Georgie;georgie;georgie;
GI Joe;gijoe;gi joe,gijoe,gi jo,gijo;
Gigi;gigi;;
Les Gobots;gobots;;
Goldorak;goldorak;;
Les Gummi;gummi;;
Ghostbusters;ghostbusters;;
Les Galaxy Rangers;galaxy;;
Il était une fois la vie;ieuflv;;
Il était une fois l'homme;ieuflh;;
Inspecteur Gadget;gadget;;
L'île au trésor;tresor;;
Jeanne et Serge;jeanne;;
Jem et les hologrammes;jem;;
Jeu, set et match;jsm;;
Juliette je t'aime;juliette;;
Les jumeaux du bout du monde;jumeaux;;
Jayce et les conquérants de la lumière;jayce;;
Johan et Pirlouit;pirlouit;johan et pirlouit,joan et pirlouit,johan et pirloui,joan et pirloui;
Ken le survivant;ken;;
Lady Oscar;loscar;;
Lamu;lamu;;
Lucile amour et rock'n roll;lucile;;
Lucky Luke;lucky;;
Laura ou la passion du thï¿½ï¿½tre;laura;;
La lï¿½gende de Blanche Neige;blanche;;
Mask;mask;;
Max et compagnie;max;;
Mighty mice from Mars;mice;;
Myster Mask;myster;;
Moi Renart;renart;;
Mon petit poney;poney;;
Muscleman;muscleman;;
Les mystï¿½rieuses citï¿½s d'or;mco;;
Mafalda;mafalda;;
Le magicien d'Oz;oz;;
Les maï¿½tres de l'univers;musclor;;
Martin Mystï¿½re;martin;;
Maya l'abeille;maya;;
Mes tendres annï¿½es;mta;;
Mimi cracra;mimi;mimi cracra,mimicracra;
Les Minipouss;minipouss;;
Les misï¿½rables;misï¿½rables;;
Molierissimo;molierissimo;;
Les mondes engloutis;lme;;
Nadia, le secret de l'eau bleue;nadia;;
Nicky Larson;nicky;;
Olive et Tom;olive;;
l'Oiseau des mers (Le voyage de l'Albatros);albatros;;
Olympe et les dieux;olympe;;
Omer et le fils  de l'ï¿½toile;omer;;
Paul le pï¿½cheur;paul;;
Pï¿½re Castor;castor;;
Le petit chef;chef;;
Les Pierrafeu;pierrafeu;;
Pï¿½le position;pp;;
Pollyanna;pollyanna;pollyanna,pollyana,polyanna,polyana,pollianna,polianna,polliana,poliana;
Les Popples;popples;;
Princesse Sarah;sarah;;
Pac man;pacman;;
Papa longues jambes;plj;;
